Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
25258134,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2002,SEX,MLE,NA,NA,NA,NA,NA,NA,2011 [1155-3257],2010.913,1154.915,3257.31,NA,2021-02-09T16:20:21.743+01:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
25258135,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2012,SEX,MLE,NA,NA,NA,NA,NA,NA,2269 [1275-3786],2269.318,1275.165,3785.995,NA,2021-02-09T16:20:21.777+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
25258136,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2005,SEX,MLE,NA,NA,NA,NA,NA,NA,2119 [1187-3499],2118.915,1186.712,3498.78,NA,2021-02-09T16:20:21.79+01:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
25258137,VIOLENCE_HOMICIDENUM,COUNTRY,AFG,YEAR,2012,SEX,BTSX,NA,NA,NA,NA,NA,NA,2702 [1493-4569],2702.277,1493.26,4568.68,NA,2021-02-09T16:20:21.84+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
25258978,VIOLENCE_HOMICIDENUM,COUNTRY,AGO,YEAR,2008,SEX,BTSX,NA,NA,NA,NA,NA,NA,2450 [1377-4102],2450.268,1376.692,4102.177,NA,2021-02-09T16:20:45.883+01:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
25258979,VIOLENCE_HOMICIDENUM,COUNTRY,AGO,YEAR,2001,SEX,MLE,NA,NA,NA,NA,NA,NA,1800 [952-3108],1800.177,952.0341,3107.861,NA,2021-02-09T16:20:45.9+01:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
25258980,VIOLENCE_HOMICIDENUM,COUNTRY,AGO,YEAR,2011,SEX,FMLE,NA,NA,NA,NA,NA,NA,454 [219-824],453.9039,219.0396,823.5136,NA,2021-02-09T16:20:45.93+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
25258981,VIOLENCE_HOMICIDENUM,COUNTRY,AGO,YEAR,2008,SEX,FMLE,NA,NA,NA,NA,NA,NA,449 [234-785],449.0249,234.2228,785.2418,NA,2021-02-09T16:20:45.963+01:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
25258982,VIOLENCE_HOMICIDENUM,COUNTRY,AGO,YEAR,2016,SEX,BTSX,NA,NA,NA,NA,NA,NA,2832 [1372-5196],2832.309,1372.15,5196.333,NA,2021-02-09T16:20:45.98+01:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
25258983,VIOLENCE_HOMICIDENUM,COUNTRY,AGO,YEAR,2008,SEX,MLE,NA,NA,NA,NA,NA,NA,2001 [1142-3317],2001.243,1142.469,3316.935,NA,2021-02-09T16:20:46.01+01:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
25258984,VIOLENCE_HOMICIDENUM,COUNTRY,AGO,YEAR,2004,SEX,FMLE,NA,NA,NA,NA,NA,NA,436 [239-724],435.996,239.3056,724.2394,NA,2021-02-09T16:20:46.073+01:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
25258985,VIOLENCE_HOMICIDENUM,COUNTRY,AGO,YEAR,2001,SEX,BTSX,NA,NA,NA,NA,NA,NA,2221 [1159-3843],2220.582,1158.767,3842.775,NA,2021-02-09T16:20:46.087+01:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
25258986,VIOLENCE_HOMICIDENUM,COUNTRY,AGO,YEAR,2012,SEX,BTSX,NA,NA,NA,NA,NA,NA,2604 [1364-4604],2604.331,1364.378,4603.917,NA,2021-02-09T16:20:46.12+01:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
25258987,VIOLENCE_HOMICIDENUM,COUNTRY,AGO,YEAR,2015,SEX,FMLE,NA,NA,NA,NA,NA,NA,490 [210-946],489.5916,210.3128,945.7881,NA,2021-02-09T16:20:46.15+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
25258988,VIOLENCE_HOMICIDENUM,COUNTRY,AGO,YEAR,2019,SEX,FMLE,NA,NA,NA,NA,NA,NA,525 [215-1047],525.2393,215.2065,1047.264,NA,2021-02-09T16:20:46.18+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
25258989,VIOLENCE_HOMICIDENUM,COUNTRY,AGO,YEAR,2017,SEX,FMLE,NA,NA,NA,NA,NA,NA,504 [212-1000],504.1437,212.4646,999.9317,NA,2021-02-09T16:20:46.197+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
25258990,VIOLENCE_HOMICIDENUM,COUNTRY,AGO,YEAR,2011,SEX,MLE,NA,NA,NA,NA,NA,NA,2114 [1148-3681],2114.271,1147.853,3680.926,NA,2021-02-09T16:20:46.213+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
25258991,VIOLENCE_HOMICIDENUM,COUNTRY,AGO,YEAR,2003,SEX,MLE,NA,NA,NA,NA,NA,NA,1861 [1073-3060],1860.985,1072.931,3060.331,NA,2021-02-09T16:20:46.247+01:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
25258992,VIOLENCE_HOMICIDENUM,COUNTRY,AGO,YEAR,2004,SEX,MLE,NA,NA,NA,NA,NA,NA,1869 [1117-3012],1869.255,1117.107,3011.636,NA,2021-02-09T16:20:46.26+01:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
25258993,VIOLENCE_HOMICIDENUM,COUNTRY,AGO,YEAR,2011,SEX,BTSX,NA,NA,NA,NA,NA,NA,2568 [1367-4504],2568.175,1366.892,4504.44,NA,2021-02-09T16:20:46.293+01:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
25258994,VIOLENCE_HOMICIDENUM,COUNTRY,AGO,YEAR,2017,SEX,BTSX,NA,NA,NA,NA,NA,NA,2847 [1377-5301],2846.99,1377.413,5301.184,NA,2021-02-09T16:20:46.31+01:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
